date	description	amount	type	pending
2012-02-23	ICA SUPERMAR/12-02-22	-6		
2012-02-22	SNABBKÖP    /12-02-21	-200		
2012-02-22	APOTEK HJÄRT/12-02-21	-334.82		
2012-02-21	MUNKKALLAREN/12-02-18	-56		
2012-02-20	FOTOGRAFISKA/12-02-19	-95		
2012-02-20	FOTOGRAFISK /12-02-19	-110		
2012-02-16	009847044956	1700		
2012-02-15	MARKUS KROON	834.98		
2012-02-15	AKADEMI HOTO/12-02-13	-15		
2012-02-13	GEGGAMOJA ST/12-02-10	-15		
2012-02-13	GEGGAMOJA ST/12-02-10	-398		
2012-02-13	ICA DALASTAN/12-02-09	-104.79		
2012-02-13	ICA SUPERMAR/12-02-10	-699.2		
2012-02-09	T-JARLEN    /12-02-08	-90		
2012-02-09	52110140771	-200		
2012-02-08	ICA DALASTAN/12-02-06	-71.6		
2012-02-08	ODENPLANS SN/12-02-07	-699		
2012-02-08	BEES FAST FO/12-02-07	-79		
2012-02-07	ICA DALASTAN/12-02-05	-122.18		
2012-02-07	REST ABERDEE/12-02-06	-85		
2012-02-06	ICA DALASTAN/12-02-04	-233.35		
2012-02-06	HEMKÖP STHLM/12-02-04	-532.6		
2012-02-06	CAFE STUREPL/12-02-03	-79		
2012-02-06	LILLA PARKKA/12-02-04	-190		
2012-02-06	STINAS BAGER/12-02-04	-20		
2012-02-06	GARDERMOEN  /12-02-02	-761.87		
2012-02-06	HMSHOST SWED/12-02-02	-31		
2012-02-03	CIAO CIAO QU/12-02-02	-115		
2012-02-02	OSLO        /12-01-31	-26		
2012-01-31	SUSHI HUSET /12-01-30	-70		
2012-01-31	COOP NARA MA/12-01-29	-70.3		
2012-01-31	ENTERCARD SVERIGE AB	-5264		
2012-01-31	FORDONSSKATT TRANSPORTST	-65		
2012-01-30	MARKUS KROON	4500		
2012-01-30	WIGGO       /12-01-27	-75		
2012-01-30	ELITE HOTEL /12-01-26	-112		
2012-01-30	MQ STOCKHOLM/12-01-28	-1050		
2012-01-30	CORINNE & FR/12-01-27	-600		
2012-01-30	CAFFÉ NERO  /12-01-27	-60		
2012-01-30	SYSTEMBOLAGE/12-01-27	-426		
2012-01-30	COM HEM AB	-533		
2012-01-27	COMHEM	600		
2012-01-27	RÄKN BOLÅN	-14000		
2012-01-27	KAP FÖRSÄKR	-1750		
2012-01-27	52112520695	-1000		
2012-01-27	FONDER	-1700		
2012-01-27	FONDER	-800		
2012-01-25	CIAO CIAO QU/12-01-24	-85		
2012-01-25	LÖN	26368		
2012-01-23	ICA DALASTAN/12-01-21	-169.15		
2012-01-23	CLAS OHLSON /12-01-21	-220		
2012-01-23	CAFE PUBLIK0/12-01-21	-178		
